tweet_id,retweet_count,favorite_count,retweeted_status
892420643555336193,8853,39467,Original tweet
892177421306343426,6514,33819,Original tweet
891815181378084864,4328,25461,Original tweet
891689557279858688,8964,42908,Original tweet
891327558926688256,9774,41048,Original tweet
891087950875897856,3261,20562,Original tweet
890971913173991426,2158,12041,Original tweet
890729181411237888,16716,56848,Original tweet
890609185150312448,4429,28226,Original tweet
890240255349198849,7711,32467,Original tweet
890006608113172480,7624,31166,Original tweet
889880896479866881,5156,28268,Original tweet
889665388333682689,8538,38818,Original tweet
889638837579907072,4735,27672,Original tweet
889531135344209921,2321,15359,Original tweet
889278841981685760,5637,25652,Original tweet
888917238123831296,4709,29611,Original tweet
888804989199671297,4559,26080,Original tweet
888554962724278272,3732,20290,Original tweet
888078434458587136,3653,22201,Original tweet
887705289381826560,5609,30779,Original tweet
887517139158093824,12082,46959,Original tweet
887473957103951883,18781,69871,Original tweet
887343217045368832,10737,34222,Original tweet
887101392804085760,6167,31061,Original tweet
886983233522544640,8084,35859,Original tweet
886736880519319552,3443,12306,Original tweet
886680336477933568,4610,22798,Original tweet
886366144734445568,3316,21524,Original tweet
886267009285017600,4,117,Original tweet
886258384151887873,6523,28469,Original tweet
886054160059072513,108,0,This is a retweet
885984800019947520,7097,33382,Original tweet
885528943205470208,6683,36689,Original tweet
885518971528720385,3899,20788,Original tweet
885311592912609280,19297,0,This is a retweet
885167619883638784,4556,22367,Original tweet
884925521741709313,16439,68152,Original tweet
884876753390489601,6096,28514,Original tweet
884562892145688576,5100,24765,Original tweet
884441805382717440,5856,27478,Original tweet
884247878851493888,21298,74423,Original tweet
884162670584377345,3128,20771,Original tweet
883838122936631299,3586,22349,Original tweet
883482846933004288,10407,46860,Original tweet
883360690899218434,3825,22986,Original tweet
883117836046086144,6949,37914,Original tweet
882992080364220416,4122,24445,Original tweet
882762694511734784,5134,28903,Original tweet
882627270321602560,6342,28382,Original tweet
882268110199369728,12118,45880,Original tweet
882045870035918850,5203,29900,Original tweet
881906580714921986,3533,24773,Original tweet
881666595344535552,11099,51522,Original tweet
881633300179243008,7,129,Original tweet
881536004380872706,16570,50199,Original tweet
881268444196462592,5358,23501,Original tweet
880935762899988482,2886,17346,Original tweet
880872448815771648,3989,21734,Original tweet
880465832366813184,6546,29075,Original tweet
880221127280381952,4436,27640,Original tweet
880095782870896641,4533,28150,Original tweet
879862464715927552,3642,22667,Original tweet
879674319642796034,10,315,Original tweet
879492040517615616,3323,23822,Original tweet
879415818425184262,45849,107956,Original tweet
879376492567855104,3261,17099,Original tweet
879130579576475649,7181,0,This is a retweet
879050749262655488,4941,23022,Original tweet
879008229531029506,2812,19317,Original tweet
878776093423087618,4319,19763,Original tweet
878604707211726852,7582,30931,Original tweet
878404777348136964,1349,0,This is a retweet
878316110768087041,6965,0,This is a retweet
878281511006478336,1349,7913,Original tweet
878057613040115712,7181,42876,Original tweet
877736472329191424,17300,71144,Original tweet
877611172832227328,83,0,This is a retweet
877556246731214848,3994,23258,Original tweet
877316821321428993,5414,27907,Original tweet
877201837425926144,5880,27755,Original tweet
876838120628539392,3506,21125,Original tweet
876537666061221889,4800,23869,Original tweet
876484053909872640,2511,19163,Original tweet
876120275196170240,4903,28490,Original tweet
875747767867523072,4497,25773,Original tweet
875144289856114688,5081,22185,Original tweet
875097192612077568,6342,27997,Original tweet
875021211251597312,4922,26022,Original tweet
874680097055178752,4875,28439,Original tweet
874434818259525634,15546,0,This is a retweet
874296783580663808,4308,26651,Original tweet
874057562936811520,4125,23134,Original tweet
874012996292530176,11007,35501,Original tweet
873697596434513921,12518,0,This is a retweet
873580283840344065,4143,24837,Original tweet
873337748698140672,1667,0,This is a retweet
873213775632977920,1667,7467,Original tweet
872967104147763200,5669,28031,Original tweet
872820683541237760,3884,15029,Original tweet
872668790621863937,31,0,This is a retweet
872620804844003328,3911,21309,Original tweet
872486979161796608,9429,41606,Original tweet
872261713294495745,6649,35085,Original tweet
872122724285648897,8549,35324,Original tweet
871879754684805121,11918,39090,Original tweet
871762521631449091,3678,20787,Original tweet
871515927908634625,3628,20730,Original tweet
871166179821445120,5991,0,This is a retweet
871102520638267392,5764,21461,Original tweet
871032628920680449,3999,23255,Original tweet
870804317367881728,6393,33791,Original tweet
870726314365509632,3,121,Original tweet
870656317836468226,2817,12819,Original tweet
870374049280663552,27680,85011,Original tweet
870308999962521604,4384,22453,Original tweet
870063196459192321,8840,37771,Original tweet
869988702071779329,25661,0,This is a retweet
869772420881756160,10663,43710,Original tweet
869702957897576449,6728,29116,Original tweet
869596645499047938,3327,16476,Original tweet
869227993411051520,4023,21112,Original tweet
868880397819494401,12518,55098,Original tweet
868639477480148993,2240,0,This is a retweet
868622495443632128,6275,28295,Original tweet
868552278524837888,2240,10539,Original tweet
867900495410671616,4439,24964,Original tweet
867774946302451713,7788,35179,Original tweet
867421006826221569,2697,16755,Original tweet
867072653475098625,135,0,This is a retweet
867051520902168576,8425,33420,Original tweet
866816280283807744,32883,0,This is a retweet
866720684873056260,5168,20888,Original tweet
866686824827068416,3727,20070,Original tweet
866450705531457537,32883,106827,Original tweet
866334964761202691,15546,54720,Original tweet
866094527597207552,8952,0,This is a retweet
865718153858494464,6008,26640,Original tweet
865359393868664832,5384,27530,Original tweet
865006731092295680,8209,29063,Original tweet
864873206498414592,9361,33651,Original tweet
864279568663928832,3266,15195,Original tweet
864197398364647424,9616,31459,Original tweet
863907417377173506,4441,21477,Original tweet
863553081350529029,4489,15935,Original tweet
863471782782697472,2687,0,This is a retweet
863432100342583297,5664,24829,Original tweet
863427515083354112,105,2363,Original tweet
863079547188785154,1195,9094,Original tweet
863062471531167744,2687,8945,Original tweet
862831371563274240,5457,20011,Original tweet
862722525377298433,3809,17779,Original tweet
862457590147678208,5388,21492,Original tweet
862096992088072192,21840,66437,Original tweet
861769973181624320,37911,0,This is a retweet
861383897657036800,11528,37744,Original tweet
861288531465048066,4479,18032,Original tweet
861005113778896900,4119,17538,Original tweet
860981674716409858,2334,0,This is a retweet
860924035999428608,882,0,This is a retweet
860563773140209665,2334,7878,Original tweet
860524505164394496,5698,24678,Original tweet
